{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 43.0, 'temperature': 27.0, 'experiment': 1.0, 'time': 1522084432.221747}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084662.245214}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084669.568112}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084676.885225}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084681.80087}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084695.098149}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084699.981963}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084712.384082}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084722.245175}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084734.317463}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084739.189741}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084745.283386}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084755.655731}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084760.523852}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084766.964212}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084772.063462}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084780.73}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084785.773306}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084793.571996}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 36.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084827.429902}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084833.03909}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084839.276776}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084845.519475}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084851.758809}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084857.999289}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084862.933552}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084872.885718}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084877.66634}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084895.245885}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084909.265298}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084914.046766}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084919.363463}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084924.517353}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084937.861965}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084943.201676}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084950.965503}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084958.372983}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084963.338678}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084968.116349}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084972.875097}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084977.641605}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084984.94632}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084992.252353}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522084997.319922}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085002.343922}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085010.137028}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085014.918706}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085023.92432}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085030.236164}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085045.92504}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085051.556648}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085084.909935}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085093.007598}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085100.305733}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085105.381372}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085112.465903}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085117.499694}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085127.976536}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085140.624548}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085174.210469}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085191.995826}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085233.906901}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085243.81863}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085292.994749}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085301.646643}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085310.851373}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085314.959438}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085321.599823}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085328.239526}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085337.407062}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085346.607219}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085353.277233}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085390.108272}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085396.31998}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085405.087318}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085426.493621}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085433.006059}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085442.207224}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085448.876579}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085458.051912}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085462.159564}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085500.800066}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085549.737125}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085558.933226}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085563.039363}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085572.205338}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085576.159146}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085585.326913}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 41.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085604.039873}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085611.443125}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085633.733734}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085641.833611}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085646.612025}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085651.418595}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085665.830673}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085673.156346}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085711.793793}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085745.37968}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085781.491059}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085822.656456}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085856.241166}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085889.829204}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 31.0, 'experiment': 1.0, 'time': 1522085923.410146}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085930.078902}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085935.199242}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085941.838976}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085948.478877}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085955.11908}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085961.75929}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085968.399322}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085975.039069}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085984.212198}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086017.805069}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086053.918523}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086087.499988}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086121.084981}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086154.669168}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 40.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086161.359262}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086170.525892}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086182.25851}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086193.989702}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086198.159605}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086207.326469}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086213.998427}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086223.166172}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086229.839246}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086239.007048}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086245.679969}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086256.226461}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086292.335488}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086298.04159}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086303.06194}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086325.893939}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086330.64218}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086335.402347}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086340.173657}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522086357.564843}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522086364.943332}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522086372.422928}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086383.665934}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 38.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522086394.12878}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 37.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522086402.325494}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522086407.318539}
{'device': 'gnfuv-temp-exp1-55d487b85b-2bl8b', 'humidity': 39.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522086412.089496}
